time_us,throttle_a,throttle_b,duty_u,duty_v,duty_w,i_a,i_b,i_c,theta_e,omega_e
0,0,0,0,0,0,0,0,-0,0,0
99,0,0,0,0,0,0,0,-0,0,0
199,0,0,0,0,0,0,0,-0,0,0
299,0,0,0,0,0,0,0,-0,0,0
399,0,0,0,0,0,0,0,-0,0,0
499,0,0,0,0,0,0,0,-0,0,0
599,0,0,0,0,0,0,0,-0,0,0
699,0,0,0,0,0,0,0,-0,0,0
799,0,0,0,0,0,0,0,-0,0,0
899,0,0,0,0,0,0,0,-0,0,0
999,0,0,0,0,0,0,0,-0,0,0
1099,0,0,0,0,0,0,0,-0,0,0
1199,0,0,0,0,0,0,0,-0,0,0
1299,0,0,0,0,0,0,0,-0,0,0
1399,0,0,0,0,0,0,0,-0,0,0
1499,0,0,0,0,0,0,0,-0,0,0
1599,0,0,0,0,0,0,0,-0,0,0
1699,0,0,0,0,0,0,0,-0,0,0
1799,0,0,0,0,0,0,0,-0,0,0
1899,0,0,0,0,0,0,0,-0,0,0
1999,0,0,0,0,0,0,0,-0,0,0
2099,0,0,0,0,0,0,0,-0,0,0
2199,0,0,0,0,0,0,0,-0,0,0
2299,0,0,0,0,0,0,0,-0,0,0
2399,0,0,0,0,0,0,0,-0,0,0
2499,0,0,0,0,0,0,0,-0,0,0
2599,0,0,0,0,0,0,0,-0,0,0
2699,0,0,0,0,0,0,0,-0,0,0
2799,0,0,0,0,0,0,0,-0,0,0
2899,0,0,0,0,0,0,0,-0,0,0
3000,0,0,0,0,0,0,0,-0,0,0
3100,0,0,0,0,0,0,0,-0,0,0
3200,0,0,0,0,0,0,0,-0,0,0
3300,0,0,0,0,0,0,0,-0,0,0
3400,0,0,0,0,0,0,0,-0,0,0
3500,0,0,0,0,0,0,0,-0,0,0
3600,0,0,0,0,0,0,0,-0,0,0
3700,0,0,0,0,0,0,0,-0,0,0
3800,0,0,0,0,0,0,0,-0,0,0
3900,0,0,0,0,0,0,0,-0,0,0
4000,0,0,0,0,0,0,0,-0,0,0
4100,0,0,0,0,0,0,0,-0,0,0
4200,0,0,0,0,0,0,0,-0,0,0
4300,0,0,0,0,0,0,0,-0,0,0
4399,0,0,0,0,0,0,0,-0,0,0
4499,0,0,0,0,0,0,0,-0,0,0
4599,0,0,0,0,0,0,0,-0,0,0
4699,0,0,0,0,0,0,0,-0,0,0
4799,0,0,0,0,0,0,0,-0,0,0
4899,0,0,0,0,0,0,0,-0,0,0
4999,0,0,0,0,0,0,0,-0,0,0
5099,0,0,0,0,0,0,0,-0,0,0
5199,0,0,0,0,0,0,0,-0,0,0
