signal,time_s,value
"Mech_RPM",66804.4,347.282
"Mech_RPM",66804.4,347.282
"Mech_RPM",66804.4,347.721
"Mech_RPM",66804.4,347.955
"Mech_RPM",66804.4,347.955
"Mech_RPM",66804.4,347.955
"Mech_RPM",66804.4,348.485
"Mech_RPM",66804.4,348.485
"Mech_RPM",66804.4,349.036
"Mech_RPM",66804.4,349.222
"Mech_RPM",66804.5,349.222
"Mech_RPM",66804.5,349.675
"Mech_RPM",66804.5,349.675
"Mech_RPM",66804.5,349.9
"Mech_RPM",66804.5,349.9
"Mech_RPM",66804.5,349.9
"Mech_RPM",66804.5,350.444
"Mech_RPM",66804.5,350.444
"Mech_RPM",66804.5,351.185
"Mech_RPM",66804.5,351.276
"Mech_RPM",66804.5,351.276
"Mech_RPM",66804.6,351.276
"Mech_RPM",66804.6,351.699
"Mech_RPM",66804.6,351.699
"Mech_RPM",66804.6,352.081
"Mech_RPM",66804.6,352.081
"Mech_RPM",66804.6,352.56
"Mech_RPM",66804.6,352.863
"Mech_RPM",66804.6,352.863
"Mech_RPM",66804.7,352.863
"Mech_RPM",66804.7,353.306
"Mech_RPM",66804.7,353.594
"Mech_RPM",66804.7,353.594
"Mech_RPM",66804.7,353.594
"Mech_RPM",66804.7,354.085
"Mech_RPM",66804.7,354.085
"Mech_RPM",66804.8,354.524
"Mech_RPM",66804.8,354.725
"Mech_RPM",66804.8,354.725
"Mech_RPM",66804.8,354.725
"Mech_RPM",66804.8,355.204
"Mech_RPM",66804.8,355.204
"Mech_RPM",66804.8,355.724
"Mech_RPM",66804.9,355.86
"Mech_RPM",66804.9,355.86
"Mech_RPM",66804.9,355.86
"Mech_RPM",66804.9,356.43
"Mech_RPM",66804.9,356.43
"Mech_RPM",66804.9,356.823
"Mech_RPM",66805,356.915
"Mech_RPM",66805,356.915
"Mech_RPM",66805,357.704
"Mech_RPM",66805,357.704
"Mech_RPM",66805,357.704
"Mech_RPM",66805,358.259
