signal,time_s,value
"Mech_RPM",65926.4,-498.685
"Mech_RPM",65926.4,-498.685
"Mech_RPM",65926.4,-498.67
"Mech_RPM",65926.4,-498.67
"Mech_RPM",65926.4,-498.66
"Mech_RPM",65926.4,-498.66
"Mech_RPM",65926.5,-498.833
"Mech_RPM",65926.5,-498.833
"Mech_RPM",65926.5,-498.689
"Mech_RPM",65926.5,-498.689
"Mech_RPM",65926.5,-498.778
"Mech_RPM",65926.5,-498.778
"Mech_RPM",65926.5,-498.839
"Mech_RPM",65926.5,-498.839
"Mech_RPM",65926.5,-498.722
"Mech_RPM",65926.5,-498.722
"Mech_RPM",65926.6,-498.815
"Mech_RPM",65926.6,-498.815
"Mech_RPM",65926.6,-498.766
"Mech_RPM",65926.6,-498.766
"Mech_RPM",65926.6,-498.707
"Mech_RPM",65926.6,-498.707
"Mech_RPM",65926.6,-498.801
"Mech_RPM",65926.6,-498.801
"Mech_RPM",65926.6,-498.772
"Mech_RPM",65926.6,-498.772
"Mech_RPM",65926.7,-498.755
"Mech_RPM",65926.7,-498.755
"Mech_RPM",65926.7,-498.739
"Mech_RPM",65926.7,-498.739
"Mech_RPM",65926.7,-498.873
"Mech_RPM",65926.7,-498.873
"Mech_RPM",65926.7,-498.713
"Mech_RPM",65926.7,-498.713
"Mech_RPM",65926.7,-498.703
"Mech_RPM",65926.7,-498.703
"Mech_RPM",65926.8,-498.796
"Mech_RPM",65926.8,-498.796
"Mech_RPM",65926.8,-498.789
"Mech_RPM",65926.8,-498.789
"Mech_RPM",65926.8,-498.756
"Mech_RPM",65926.8,-498.756
"Mech_RPM",65926.8,-498.927
"Mech_RPM",65926.8,-498.927
"Mech_RPM",65926.8,-498.766
"Mech_RPM",65926.8,-498.766
"Mech_RPM",65926.9,-498.739
"Mech_RPM",65926.9,-498.739
"Mech_RPM",65926.9,-498.832
"Mech_RPM",65926.9,-498.832
"Mech_RPM",65926.9,-498.917
"Mech_RPM",65926.9,-498.917
"Mech_RPM",65926.9,-498.908
"Mech_RPM",65926.9,-498.908
"Mech_RPM",65926.9,-498.878
"Mech_RPM",65926.9,-498.878
"Mech_RPM",65927,-498.843
"Mech_RPM",65927,-498.843
"Mech_RPM",65927,-498.829
"Mech_RPM",65927,-498.829
"Mech_RPM",65927,-498.978
"Mech_RPM",65927,-498.978
"Mech_RPM",65927,-498.951
"Mech_RPM",65927,-498.951
"Mech_RPM",65927,-498.879
"Mech_RPM",65927,-498.879
"Mech_RPM",65927.1,-499.031
"Mech_RPM",65927.1,-499.031
