signal,time_s,value
"Mech_RPM",66241.8,505.697
"Mech_RPM",66241.8,505.697
"Mech_RPM",66241.9,505.58
"Mech_RPM",66241.9,505.58
"Mech_RPM",66241.9,505.661
"Mech_RPM",66241.9,505.661
"Mech_RPM",66241.9,505.707
"Mech_RPM",66241.9,505.707
"Mech_RPM",66241.9,505.601
"Mech_RPM",66241.9,505.601
"Mech_RPM",66241.9,505.58
"Mech_RPM",66241.9,505.58
"Mech_RPM",66242,505.726
"Mech_RPM",66242,505.726
"Mech_RPM",66242,505.583
"Mech_RPM",66242,505.583
"Mech_RPM",66242,505.547
"Mech_RPM",66242,505.547
"Mech_RPM",66242,505.683
"Mech_RPM",66242,505.683
"Mech_RPM",66242,505.679
"Mech_RPM",66242,505.679
"Mech_RPM",66242.1,505.571
"Mech_RPM",66242.1,505.571
"Mech_RPM",66242.1,505.714
"Mech_RPM",66242.1,505.714
"Mech_RPM",66242.1,505.577
"Mech_RPM",66242.1,505.577
"Mech_RPM",66242.1,505.564
"Mech_RPM",66242.1,505.564
"Mech_RPM",66242.1,505.596
"Mech_RPM",66242.1,505.596
"Mech_RPM",66242.2,505.705
"Mech_RPM",66242.2,505.705
"Mech_RPM",66242.2,505.706
"Mech_RPM",66242.2,505.706
"Mech_RPM",66242.2,505.738
"Mech_RPM",66242.2,505.738
"Mech_RPM",66242.2,505.688
"Mech_RPM",66242.2,505.688
"Mech_RPM",66242.2,505.574
"Mech_RPM",66242.2,505.574
"Mech_RPM",66242.3,505.629
"Mech_RPM",66242.3,505.629
"Mech_RPM",66242.3,505.616
"Mech_RPM",66242.3,505.616
"Mech_RPM",66242.3,505.613
"Mech_RPM",66242.3,505.613
"Mech_RPM",66242.3,505.74
"Mech_RPM",66242.3,505.74
"Mech_RPM",66242.3,505.714
"Mech_RPM",66242.3,505.714
"Mech_RPM",66242.4,505.68
"Mech_RPM",66242.4,505.68
"Mech_RPM",66242.4,505.71
"Mech_RPM",66242.4,505.71
"Mech_RPM",66242.4,505.687
"Mech_RPM",66242.4,505.687
"Mech_RPM",66242.4,505.576
"Mech_RPM",66242.4,505.576
"Mech_RPM",66242.4,505.709
"Mech_RPM",66242.4,505.709
"Mech_RPM",66242.5,505.584
"Mech_RPM",66242.5,505.584
"Mech_RPM",66242.5,505.561
"Mech_RPM",66242.5,505.561
"Mech_RPM",66242.5,505.687
"Mech_RPM",66242.5,505.687
"Mech_RPM",66242.5,505.696
"Mech_RPM",66242.5,505.696
"Mech_RPM",66242.5,505.595
"Mech_RPM",66242.5,505.595
"Mech_RPM",66242.6,505.715
"Mech_RPM",66242.6,505.715
"Mech_RPM",66242.6,505.58
"Mech_RPM",66242.6,505.58
"Mech_RPM",66242.6,505.562
"Mech_RPM",66242.6,505.562
"Mech_RPM",66242.6,505.703
"Mech_RPM",66242.6,505.703
"Mech_RPM",66242.6,505.701
"Mech_RPM",66242.6,505.701
"Mech_RPM",66242.7,505.702
"Mech_RPM",66242.7,505.702
"Mech_RPM",66242.7,505.707
"Mech_RPM",66242.7,505.707
"Mech_RPM",66242.7,505.674
"Mech_RPM",66242.7,505.674
"Mech_RPM",66242.7,505.662
"Mech_RPM",66242.7,505.662
"Mech_RPM",66242.7,505.676
"Mech_RPM",66242.8,505.676
"Mech_RPM",66242.8,505.56
"Mech_RPM",66242.8,505.56
"Mech_RPM",66242.8,505.566
"Mech_RPM",66242.8,505.566
"Mech_RPM",66242.8,505.572
"Mech_RPM",66242.8,505.572
"Mech_RPM",66242.8,505.526
"Mech_RPM",66242.8,505.526
"Mech_RPM",66242.8,505.545
"Mech_RPM",66242.9,505.545
"Mech_RPM",66242.9,505.687
"Mech_RPM",66242.9,505.687
"Mech_RPM",66242.9,505.568
"Mech_RPM",66242.9,505.568
"Mech_RPM",66242.9,505.569
"Mech_RPM",66242.9,505.569
"Mech_RPM",66242.9,505.585
"Mech_RPM",66242.9,505.585
"Mech_RPM",66242.9,505.557
"Mech_RPM",66243,505.557
"Mech_RPM",66243,505.568
"Mech_RPM",66243,505.568
"Mech_RPM",66243,505.597
"Mech_RPM",66243,505.597
"Mech_RPM",66243,505.55
"Mech_RPM",66243,505.55
"Mech_RPM",66243,505.679
"Mech_RPM",66243,505.679
"Mech_RPM",66243,505.672
"Mech_RPM",66243,505.672
"Mech_RPM",66243.1,505.663
"Mech_RPM",66243.1,505.663
"Mech_RPM",66243.1,505.675
"Mech_RPM",66243.1,505.675
"Mech_RPM",66243.1,505.561
"Mech_RPM",66243.1,505.561
"Mech_RPM",66243.1,505.692
"Mech_RPM",66243.1,505.692
"Mech_RPM",66243.1,505.612
"Mech_RPM",66243.1,505.612
"Mech_RPM",66243.2,505.693
"Mech_RPM",66243.2,505.693
"Mech_RPM",66243.2,505.558
"Mech_RPM",66243.2,505.558
"Mech_RPM",66243.2,505.561
"Mech_RPM",66243.2,505.561
"Mech_RPM",66243.2,505.682
"Mech_RPM",66243.2,505.682
"Mech_RPM",66243.2,505.685
"Mech_RPM",66243.2,505.685
"Mech_RPM",66243.3,505.603
"Mech_RPM",66243.3,505.603
"Mech_RPM",66243.3,505.671
"Mech_RPM",66243.3,505.671
"Mech_RPM",66243.3,505.635
"Mech_RPM",66243.3,505.635
"Mech_RPM",66243.3,505.658
"Mech_RPM",66243.3,505.658
"Mech_RPM",66243.3,505.55
"Mech_RPM",66243.4,505.55
"Mech_RPM",66243.4,505.627
"Mech_RPM",66243.4,505.627
"Mech_RPM",66243.4,505.553
"Mech_RPM",66243.4,505.553
"Mech_RPM",66243.4,505.64
"Mech_RPM",66243.4,505.64
"Mech_RPM",66243.4,505.514
"Mech_RPM",66243.4,505.514
"Mech_RPM",66243.4,505.513
"Mech_RPM",66243.4,505.513
"Mech_RPM",66243.5,505.512
"Mech_RPM",66243.5,505.512
"Mech_RPM",66243.5,505.496
"Mech_RPM",66243.5,505.496
"Mech_RPM",66243.5,505.633
"Mech_RPM",66243.5,505.633
"Mech_RPM",66243.5,505.51
"Mech_RPM",66243.5,505.51
"Mech_RPM",66243.5,505.489
"Mech_RPM",66243.5,505.489
"Mech_RPM",66243.6,505.611
"Mech_RPM",66243.6,505.611
"Mech_RPM",66243.6,505.621
"Mech_RPM",66243.6,505.621
"Mech_RPM",66243.6,505.625
"Mech_RPM",66243.6,505.625
"Mech_RPM",66243.6,505.638
"Mech_RPM",66243.6,505.638
"Mech_RPM",66243.6,505.528
"Mech_RPM",66243.6,505.528
"Mech_RPM",66243.7,505.493
"Mech_RPM",66243.7,505.493
"Mech_RPM",66243.7,505.633
"Mech_RPM",66243.7,505.633
"Mech_RPM",66243.7,505.533
"Mech_RPM",66243.7,505.533
"Mech_RPM",66243.7,505.511
"Mech_RPM",66243.7,505.511
"Mech_RPM",66243.7,505.654
"Mech_RPM",66243.8,505.654
"Mech_RPM",66243.8,505.527
"Mech_RPM",66243.8,505.527
"Mech_RPM",66243.8,505.602
"Mech_RPM",66243.8,505.602
"Mech_RPM",66243.8,505.641
"Mech_RPM",66243.8,505.641
"Mech_RPM",66243.8,505.518
"Mech_RPM",66243.8,505.518
"Mech_RPM",66243.8,505.634
"Mech_RPM",66243.8,505.634
"Mech_RPM",66243.9,505.683
"Mech_RPM",66243.9,505.683
"Mech_RPM",66243.9,505.509
"Mech_RPM",66243.9,505.509
"Mech_RPM",66243.9,505.623
"Mech_RPM",66243.9,505.623
"Mech_RPM",66243.9,505.523
"Mech_RPM",66243.9,505.523
"Mech_RPM",66243.9,505.52
"Mech_RPM",66243.9,505.52
"Mech_RPM",66244,505.631
"Mech_RPM",66244,505.631
